pubDate_kst,title,matched_tags,used_url,발주처 이름,프로젝트 이름,내용 요약(100자 이내),담당자 연락처,규모,투자금액,공사지역,원본기사 URL 링크
2025-10-27 03:02:00+09:00,"한국앤컴퍼니, 美테네시 주지사 회동 ‘북미 사업 강화’","['증설', '설비 증설']",https://n.news.naver.com/mnews/article/020/0003669810?sid=101,장은 승용차용 타이어를 생산해 왔으며 현재 공장 증설 공사,"한국앤컴퍼니, 美테네시 주지사 회동 ‘북미 사업 강화’","한국앤컴퍼니, 美테네시 주지사 회동 ‘북미 사업 강화’ 한국앤컴퍼니그룹은 빌 리 테네시 주지사가 24일 오전 경기 성남시 판교 한국앤컴퍼니그룹 본사 테크노플렉스를 방문해 이수일 부",,,187,,https://n.news.naver.com/mnews/article/020/0003669810?sid=101
2025-10-26 18:51:00+09:00,"‘관세 폭탄’ 타이어 3사, 3분기 1150억대 손실 추산",['증설'],https://n.news.naver.com/mnews/article/014/0005424711?sid=101,,"‘관세 폭탄’ 타이어 3사, 3분기 1150억대 손실 추산","‘관세 폭탄’ 타이어 3사, 3분기 1150억대 손실 추산 美공장 증설·공급망 재편으로 돌파 넥센, 15%로 완화시 큰 수혜 전망 미국의 관세 폭탄으로 올해 3·4분기 한국타이어앤",,,1150,,https://n.news.naver.com/mnews/article/014/0005424711?sid=101
2025-10-26 18:19:00+09:00,美 테네시 주지사와 회동…한국앤컴퍼니 협력 강화,['증설'],https://n.news.naver.com/mnews/article/015/0005202051?sid=101,,美 테네시 주지사와 회동…한국앤컴퍼니 협력 강화,"美 테네시 주지사와 회동…한국앤컴퍼니 협력 강화 이번 간담회에서 양측은 비즈니스 친화적 환경 조성, 원활한 현지 진출을 위한 주정부 차원의 지원, 안정적인 에너지 공급, 경쟁력 있",,,,,https://n.news.naver.com/mnews/article/015/0005202051?sid=101
2025-10-26 17:37:00+09:00,내년 매출 2조·年 18% '초고속 성장'…통신사 새 먹거리된 데이터센터,['증설'],https://n.news.naver.com/mnews/article/011/0004547833?sid=105,,내년 매출 2조·年 18% '초고속 성장'…통신사 새 먹거리된 데이터센터,"SKT, 울산에 7조규모 센터 구축 통신사 GPU 서비스 100조 전망 中·日도 몸집 키워 시장선점 나서 [서울경제] 인공지능(AI) 데이터센터는 삼성전자(005930) 같은 빅테",,,7,,https://n.news.naver.com/mnews/article/011/0004547833?sid=105
2025-10-26 16:29:00+09:00,"美테네시 주지사 한국앤컴퍼니그룹 찾았다…""모빌리티 협력 강화""",['증설'],https://n.news.naver.com/mnews/article/015/0005201956?sid=101,,"美테네시 주지사 한국앤컴퍼니그룹 찾았다…""모빌리티 협력 강화""","한국앤컴퍼니그룹은 빌 리 미국 테네시 주지사가 지난 24일 오전 경기 성남 테크노플렉스를 방문해 이수일 부회장 겸 한온시스템 대표, 박종호 한국앤컴퍼니 대표, 김준현 한국앤컴퍼니 ",,,,,https://n.news.naver.com/mnews/article/015/0005201956?sid=101
2025-10-26 16:17:00+09:00,타이어 3사 3분기 관세 손실 1150억대…공급망 재편으로 돌파구 모색,['증설'],https://n.news.naver.com/mnews/article/014/0005424606?sid=101,,타이어 3사 3분기 관세 손실 1150억대…공급망 재편으로 돌파구 모색,관세 피해에 공급망 재편·가격 인상 대응 관세 15% 인하 시나리오에 업계 기대감 한국타이어의 미국 테네시 공장 전경.사진=한국타이어앤테크놀로지 제공 [파이낸셜뉴스] 미국의 관세 ,,,1150,,https://n.news.naver.com/mnews/article/014/0005424606?sid=101
2025-10-26 11:39:00+09:00,"한국앤컴퍼니그룹 ""美 테네시 주지사와 공동협력 논의""",['증설'],https://n.news.naver.com/mnews/article/003/0013557923?sid=101,공장 증설 진행 중으로 이르면 올 연말 공사,"한국앤컴퍼니그룹 ""美 테네시 주지사와 공동협력 논의""","[서울=뉴시스] 류인선 기자 = 한국앤컴퍼니그룹은 빌 리 미국 테네시 주지사가 지난 24일 경기 판교 본사 테크노플렉스를 방문해 이수일 부회장 겸 한온시스템 대표, 박종호 한국앤컴",,,,,https://n.news.naver.com/mnews/article/003/0013557923?sid=101
2025-10-26 11:35:00+09:00,"한국앤컴퍼니그룹, 美 테네시 주지사 회동…“협력 강화 논의”",['증설'],https://n.news.naver.com/mnews/article/029/0002989234?sid=101,공장 증설 진행 중으로 이르면 올 연말 공사,"한국앤컴퍼니그룹, 美 테네시 주지사 회동…“협력 강화 논의”","한국앤컴퍼니그룹은 빌 리 미국 테네시 주지사가 지난 24일 오전 경기도 판교 본사 테크노플렉스를 방문했다고 26일 밝혔다. 리 주지사는 테크노플렉스를 둘러보고, 이수일 부회장 겸 ",,,,경기도,https://n.news.naver.com/mnews/article/029/0002989234?sid=101
2025-10-27 00:50:00+09:00,美·中 정상회담 장소로 김해공항 ‘나래마루’ 검토,"['신축', '증축']",https://n.news.naver.com/mnews/article/023/0003936959?sid=100,,美·中 정상회담 장소로 김해공항 ‘나래마루’ 검토,곡선형 외관에 신라 누각 형상화 31일부터 이틀간 열리는 2025 아시아태평양경제협력체(APEC) 정상회의의 주무대는 경북 경주 보문단지에 있는 경주화백컨벤션센터(HICO)다. 정,,2000명,295,경북,https://n.news.naver.com/mnews/article/023/0003936959?sid=100
2025-10-26 22:31:00+09:00,그린벨트 학교 증축 숨통…김준혁 의원 발의 법안 통과,['증축'],https://n.news.naver.com/mnews/article/003/0013558944?sid=102,초등학교는 교육감 승인으로 급식소 증축을 완료했음에도 구청,그린벨트 학교 증축 숨통…김준혁 의원 발의 법안 통과,현행 제도는 일반 지역 학교는 교육감 승인만으로 시설 증축이 가능하다. 하지만 개발제한구역 내 학교는 지자체장 건축허가를 별도로 받아야 한다. 앞서 경남 진해구에 위치한 자은초등학,,,,경남 진해구,https://n.news.naver.com/mnews/article/003/0013558944?sid=102
2025-10-26 16:38:00+09:00,대전 공립학교 10곳에 태양광 발전설비 구축…연간 2083MWh 생산,"['신축', '증축']",https://n.news.naver.com/mnews/article/656/0000152841?sid=102,,대전 공립학교 10곳에 태양광 발전설비 구축…연간 2083MWh 생산,"대전 지역 공립학교 10곳에 총 1709.4kW 규모의 태양광발전설비가 설치된다. 26일 대전시교육청에 따르면 이번 사업은 올해 신축 6곳, 증축 3곳, 대수선 1곳 등 10개 학",,,,,https://n.news.naver.com/mnews/article/656/0000152841?sid=102
2025-10-26 15:46:00+09:00,"대구 공항 전기차 충전시설, 법정 의무보유 기준 20%만 충족","['신축', '증설', '증축']",https://n.news.naver.com/mnews/article/088/0000977351?sid=102,더불어민주당)이 한국공항공사,"대구 공항 전기차 충전시설, 법정 의무보유 기준 20%만 충족","대구 공항의 전기차 충전시설이 법정 의무보유 기준을 크게 밑도는 것으로 나타났다. 이건태 국회의원(경기 부천시병, 더불어민주당)이 한국공항공사로부터 제출받은 자료를 분석한 결과, ",,,,제주,https://n.news.naver.com/mnews/article/088/0000977351?sid=102
2025-10-26 15:18:00+09:00,부산시·교육청 교육행정협의회…교육예산 5건 논의,['증축'],https://n.news.naver.com/mnews/article/088/0000977339?sid=102,부산시와 부산시교육청이 24일 오후 부산시청,부산시·교육청 교육행정협의회…교육예산 5건 논의,부산시와 부산시교육청이 24일 오후 부산시청 영상회의실에서 '2025년도 하반기 교육행정협의회'를 열고 무상급식비 지원 등 양 기관이 제안한 5건에 대해 논의한다. 회의에는 박형준,,,,,https://n.news.naver.com/mnews/article/088/0000977339?sid=102
2025-10-26 08:28:00+09:00,아마존·애플·록히드마틴은 왜 백악관 공사에 돈을 냈나,"['신축', '증축']",https://n.news.naver.com/mnews/article/022/0004077650?sid=104,아마존·애플·록히드마틴은 왜 백악관 공사,아마존·애플·록히드마틴은 왜 백악관 공사에 돈을 냈나,아마존·애플·록히드마틴은 왜 백악관 공사에 돈을 냈나 24일(현지시간) 외신 등에 따르면 지난 20일 철거를 시작한 백악관 이스트윙(동관)은 사흘 만인 지난 23일 완전히 형체가 ,,,4310,,https://n.news.naver.com/mnews/article/022/0004077650?sid=104
2025-10-26 08:27:00+09:00,부동산 '내로남불' 공세...법제처장 두고 여야 설전,['증축'],https://n.news.naver.com/mnews/article/052/0002264458?sid=100,,부동산 '내로남불' 공세...법제처장 두고 여야 설전,"부동산 '내로남불' 공세...법제처장 두고 여야 설전 ■ 출연 : 성치훈 전 더불어민주당 정책위 부의장, 박민영 국민의힘 미디어 대변인 * 아래 텍스트는 실제 방송 내용과 차이가 ",02-398-8585,4000명,8,충남,https://n.news.naver.com/mnews/article/052/0002264458?sid=100
2025-10-26 08:00:00+09:00,백악관에 연회장 짓는 트럼프…기업에 상납 강요 논란[시사쇼],['증축'],https://n.news.naver.com/mnews/article/277/0005669497?sid=104,의회 승인 없이 진행되는 이번 공사,백악관에 연회장 짓는 트럼프…기업에 상납 강요 논란[시사쇼],트럼프 지지율 급락…중간선거 비상 ■ 방송 : 아시아경제 '소종섭의 시사쇼' ■ 진행 : 소종섭 정치스페셜리스트 ■ 연출 : 이미리 PD ■ 출연 : 이현우 기자 도널드 트럼프 미,,,3500,,https://n.news.naver.com/mnews/article/277/0005669497?sid=104
2025-10-26 15:46:00+09:00,"대구 공항 전기차 충전시설, 법정 의무보유 기준 20%만 충족","['신축', '증설', '증축']",https://n.news.naver.com/mnews/article/088/0000977351?sid=102,더불어민주당)이 한국공항공사,"대구 공항 전기차 충전시설, 법정 의무보유 기준 20%만 충족","대구 공항의 전기차 충전시설이 법정 의무보유 기준을 크게 밑도는 것으로 나타났다. 이건태 국회의원(경기 부천시병, 더불어민주당)이 한국공항공사로부터 제출받은 자료를 분석한 결과, ",,,,제주,https://n.news.naver.com/mnews/article/088/0000977351?sid=102
2025-10-26 08:28:00+09:00,아마존·애플·록히드마틴은 왜 백악관 공사 에 돈을 냈나,"['신축', '증축']",https://n.news.naver.com/mnews/article/022/0004077650?sid=104,아마존·애플·록히드마틴은 왜 백악관 공사,아마존·애플·록히드마틴은 왜 백악관 공사 에 돈을 냈나,아마존·애플·록히드마틴은 왜 백악관 공사에 돈을 냈나 24일(현지시간) 외신 등에 따르면 지난 20일 철거를 시작한 백악관 이스트윙(동관)은 사흘 만인 지난 23일 완전히 형체가 ,,,4310,,https://n.news.naver.com/mnews/article/022/0004077650?sid=104
2025-10-26 08:00:00+09:00,백악관에 연회장 짓는 트럼프…기업에 상납 강요 논란[시사쇼],['증축'],https://n.news.naver.com/mnews/article/277/0005669497?sid=104,의회 승인 없이 진행되는 이번 공사,백악관에 연회장 짓는 트럼프…기업에 상납 강요 논란[시사쇼],트럼프 지지율 급락…중간선거 비상 ■ 방송 : 아시아경제 '소종섭의 시사쇼' ■ 진행 : 소종섭 정치스페셜리스트 ■ 연출 : 이미리 PD ■ 출연 : 이현우 기자 도널드 트럼프 미,,,3500,,https://n.news.naver.com/mnews/article/277/0005669497?sid=104
2025-10-26 17:47:00+09:00,"""중국이 싹쓸이하고 있다"" 역대급 독주…한국 '초비상'","['증설', '설비 증설']",https://n.news.naver.com/mnews/article/015/0005201999?sid=101,지난 수년간 중국 정부는 중국해운공사,"""중국이 싹쓸이하고 있다"" 역대급 독주…한국 '초비상'","컨테이너선 발주 풍년에도…中은 독주, 韓은 한숨만 저가 공세 中, 세계 점유율 74% 과거 주름잡던 韓 20% 그쳐 국내 빅3, 부랴부랴 영업 강화 단기 실적 방어엔 도움 되지만 ",,,3959,,https://n.news.naver.com/mnews/article/015/0005201999?sid=101
2025-10-26 09:11:00+09:00,“증권사 앱 설치하는 사이에 50만닉스”…다 놓쳤다면 ‘반도체 5총사...,"['증설', '시설 투자']",https://n.news.naver.com/mnews/article/009/0005579005?sid=101,,“증권사 앱 설치하는 사이에 50만닉스”…다 놓쳤다면 ‘반도체 5총사...,한미반도체·이수페타시스·ISC등 주목 추석 명절 이후에도 K반도체 주식 유무에 대한 질문이 끊이지 않는다. 두 상장사가 없는 투자자들은 ‘포모’(FOMO·기회 상실 걱정)가 커진다,,,1,,https://n.news.naver.com/mnews/article/009/0005579005?sid=101
2025-10-26 17:47:00+09:00,"""중국이 싹쓸이하고 있다"" 역대급 독주…한국 '초비상'","['증설', '설비 증설']",https://n.news.naver.com/mnews/article/015/0005201999?sid=101,지난 수년간 중국 정부는 중국해운공사,"""중국이 싹쓸이하고 있다"" 역대급 독주…한국 '초비상'","컨테이너선 발주 풍년에도…中은 독주, 韓은 한숨만 저가 공세 中, 세계 점유율 74% 과거 주름잡던 韓 20% 그쳐 국내 빅3, 부랴부랴 영업 강화 단기 실적 방어엔 도움 되지만 ",,,3959,,https://n.news.naver.com/mnews/article/015/0005201999?sid=101
2025-10-26 09:11:00+09:00,“증권사 앱 설치하는 사이에 50만닉스”…다 놓쳤다면 ‘반도체 5총사...,"['증설', '시설 투자']",https://n.news.naver.com/mnews/article/009/0005579005?sid=101,,“증권사 앱 설치하는 사이에 50만닉스”…다 놓쳤다면 ‘반도체 5총사...,한미반도체·이수페타시스·ISC등 주목 추석 명절 이후에도 K반도체 주식 유무에 대한 질문이 끊이지 않는다. 두 상장사가 없는 투자자들은 ‘포모’(FOMO·기회 상실 걱정)가 커진다,,,1,,https://n.news.naver.com/mnews/article/009/0005579005?sid=101
2025-10-26 10:11:00+09:00,"이번주 공모주 청약, 이노테크 1개사",['증설'],https://n.news.naver.com/mnews/article/119/0003016600?sid=101,,"이번주 공모주 청약, 이노테크 1개사","27~28일 공모 청약…내달 7일 코스닥 상장 26일 금융투자업계에 따르면, 이노테크는 오는 27~28일 양일간 일반 공모 청약을 실시한다. 앞서 지난 16일부터 22일까지 수요예",,,259,,https://n.news.naver.com/mnews/article/119/0003016600?sid=101
2025-10-26 09:11:00+09:00,“증권사 앱 설치하는 사이에 50만닉스”…다 놓쳤다면 ‘반도체 5총사...,"['증설', '시설 투자']",https://n.news.naver.com/mnews/article/009/0005579005?sid=101,,“증권사 앱 설치하는 사이에 50만닉스”…다 놓쳤다면 ‘반도체 5총사...,한미반도체·이수페타시스·ISC등 주목 추석 명절 이후에도 K반도체 주식 유무에 대한 질문이 끊이지 않는다. 두 상장사가 없는 투자자들은 ‘포모’(FOMO·기회 상실 걱정)가 커진다,,,1,,https://n.news.naver.com/mnews/article/009/0005579005?sid=101
2025-10-26 08:58:00+09:00,[르포] APEC 앞둔 경주 '첨단기술 실험도시'로 변신,['증설'],https://n.news.naver.com/mnews/article/421/0008562376?sid=102,,[르포] APEC 앞둔 경주 '첨단기술 실험도시'로 변신,"보문단지 호수는 거대한 전시공간, 황룡사 앞엔 '신라시대 XR버스' (경주=뉴스1) 김대벽 기자 = 오는 27일부터 열리는 ‘2025 아시아태평양경제협력체(APEC) 정상회의’를 ",,,,경북,https://n.news.naver.com/mnews/article/421/0008562376?sid=102
2025-10-27 06:00:00+09:00,[S리포트] ②'먹튀의 덫'… 산업 동맥경화 부르는 사모펀드식 경영,['시설 투자'],https://n.news.naver.com/mnews/article/417/0001108955?sid=101,,[S리포트] ②'먹튀의 덫'… 산업 동맥경화 부르는 사모펀드식 경영,"""저희는 기업의 가치를 높이는 자본시장의 '메기'입니다."" 한때 사모펀드(PEF) 운용사들이 입버릇처럼 하던 말이다. PEF는 본래 저평가된 기업을 인수해 비효율적인 구조를 혁신하",,,4,,https://n.news.naver.com/mnews/article/417/0001108955?sid=101
2025-10-26 17:30:00+09:00,"""美 전력인프라 7조달러 시장으로 커진다""",['증설'],https://n.news.naver.com/mnews/article/009/0005579209?sid=101,,"""美 전력인프라 7조달러 시장으로 커진다""","25년된 美전력망 70% 달해 인프라 보강·현대화 수요 커 프로젝트 규모·복잡성 증가 전문서비스 외부위탁 늘 것 내달 5일 대체투자포럼서 발표 ""향후 10~15년간 글로벌 인프라스",,,,,https://n.news.naver.com/mnews/article/009/0005579209?sid=101
2025-10-26 16:00:00+09:00,"금호석유화학, 폐기물 재활용 등 온실가스 감축 팔걷어",['시설 투자'],https://n.news.naver.com/mnews/article/009/0005579113?sid=101,,"금호석유화학, 폐기물 재활용 등 온실가스 감축 팔걷어",금호석유화학그룹이 2050년 탄소중립 목표 달성을 위해 환경경영 시스템 강화에 나섰다. 금호석유화학그룹은 에너지 발전 사업의 CCUS(이산화탄소 포집·활용·저장) 적용과 폐기물 재,,,,,https://n.news.naver.com/mnews/article/009/0005579113?sid=101
2025-10-26 15:45:00+09:00,교환사채 공시 강화 후 첫 본보기에…업계는 '초긴장',['시설 투자'],https://n.news.naver.com/mnews/article/018/0006147505?sid=101,,교환사채 공시 강화 후 첫 본보기에…업계는 '초긴장',"교환사채 공시 강화 후 첫 본보기에…업계는 '초긴장' 코스닥업체 테스도 교환사채 발행 공시…금감원 검토 중 업계 ""작성 예시 등 추가 가이드라인 필요"" 호소[이데일리 권오석 기자]",,,150,,https://n.news.naver.com/mnews/article/018/0006147505?sid=101
2025-10-26 15:26:00+09:00,"HD현대, 美 헌팅턴 잉걸스와 ‘차세대 군수지원함’ 공동 건조한다",['시설 투자'],https://n.news.naver.com/mnews/article/009/0005579098?sid=101,,"HD현대, 美 헌팅턴 잉걸스와 ‘차세대 군수지원함’ 공동 건조한다",미 해군 보급·물류 현대화 핵심 함정 설계 공동 참여 미국 내 조선시설 투자·블록 모듈 공급 합의 엔지니어링 합작회사 설립·함정 유지보수 협력도 HD현대는 26일 경북 경주 라한셀,,,,경북,https://n.news.naver.com/mnews/article/009/0005579098?sid=101
2025-10-27 06:00:00+09:00,[S리포트] ②'먹튀의 덫'… 산업 동맥경화 부르는 사모펀드식 경영,['시설 투자'],https://n.news.naver.com/mnews/article/417/0001108955?sid=101,,[S리포트] ②'먹튀의 덫'… 산업 동맥경화 부르는 사모펀드식 경영,"""저희는 기업의 가치를 높이는 자본시장의 '메기'입니다."" 한때 사모펀드(PEF) 운용사들이 입버릇처럼 하던 말이다. PEF는 본래 저평가된 기업을 인수해 비효율적인 구조를 혁신하",,,4,,https://n.news.naver.com/mnews/article/417/0001108955?sid=101
2025-10-26 17:30:00+09:00,"""美 전력인프라 7조달러 시장으로 커진다""",['증설'],https://n.news.naver.com/mnews/article/009/0005579209?sid=101,,"""美 전력인프라 7조달러 시장으로 커진다""","25년된 美전력망 70% 달해 인프라 보강·현대화 수요 커 프로젝트 규모·복잡성 증가 전문서비스 외부위탁 늘 것 내달 5일 대체투자포럼서 발표 ""향후 10~15년간 글로벌 인프라스",,,,,https://n.news.naver.com/mnews/article/009/0005579209?sid=101
2025-10-26 16:00:00+09:00,"금호석유화학, 폐기물 재활용 등 온실가스 감축 팔걷어",['시설 투자'],https://n.news.naver.com/mnews/article/009/0005579113?sid=101,,"금호석유화학, 폐기물 재활용 등 온실가스 감축 팔걷어",금호석유화학그룹이 2050년 탄소중립 목표 달성을 위해 환경경영 시스템 강화에 나섰다. 금호석유화학그룹은 에너지 발전 사업의 CCUS(이산화탄소 포집·활용·저장) 적용과 폐기물 재,,,,,https://n.news.naver.com/mnews/article/009/0005579113?sid=101
2025-10-26 15:45:00+09:00,교환사채 공시 강화 후 첫 본보기에…업계는 '초긴장',['시설 투자'],https://n.news.naver.com/mnews/article/018/0006147505?sid=101,,교환사채 공시 강화 후 첫 본보기에…업계는 '초긴장',"교환사채 공시 강화 후 첫 본보기에…업계는 '초긴장' 코스닥업체 테스도 교환사채 발행 공시…금감원 검토 중 업계 ""작성 예시 등 추가 가이드라인 필요"" 호소[이데일리 권오석 기자]",,,150,,https://n.news.naver.com/mnews/article/018/0006147505?sid=101
2025-10-26 15:26:00+09:00,"HD현대, 美 헌팅턴 잉걸스와 ‘차세대 군수지원함’ 공동 건조한다",['시설 투자'],https://n.news.naver.com/mnews/article/009/0005579098?sid=101,,"HD현대, 美 헌팅턴 잉걸스와 ‘차세대 군수지원함’ 공동 건조한다",미 해군 보급·물류 현대화 핵심 함정 설계 공동 참여 미국 내 조선시설 투자·블록 모듈 공급 합의 엔지니어링 합작회사 설립·함정 유지보수 협력도 HD현대는 26일 경북 경주 라한셀,,,,경북,https://n.news.naver.com/mnews/article/009/0005579098?sid=101
2025-10-26 23:15:00+09:00,"김동연 “기후위기, 기회로 바꾸는 기후경제 필요한 시대” 강조 이유 ...",['투자 유치'],https://n.news.naver.com/mnews/article/005/0001810151?sid=102,대한무역투자진흥공사,"김동연 “기후위기, 기회로 바꾸는 기후경제 필요한 시대” 강조 이유 ...",김동연 경기도지사가 “기후위기를 기회로 바꾸는 기후경제가 필요한 시대”라고 강조하고 나섰다. 김 지사는 지난 24일 수원 경기융합타운(경기신용보증재단 3층)에서 열린 ‘2025 경,,,,경기도,https://n.news.naver.com/mnews/article/005/0001810151?sid=102
2025-10-26 15:03:00+09:00,"미국 출장길에 나선 김동연, "" 투자 유치 100조 꼭 달성하고 오겠다""","['투자 협약', '투자 유치']",https://n.news.naver.com/mnews/article/119/0003016675?sid=102,,"미국 출장길에 나선 김동연, "" 투자 유치 100조 꼭 달성하고 오겠다""","김 지사는 이날 자신의 인스타그램을 통해 ""새로운 미국의 달달버스 열심히 달려서 투자유치 100조를 달성 하겠다""고 말했다. 김 경기도지사를 단장으로 한 경기도 대표단이 해외투자 ",,,91,경기도,https://n.news.naver.com/mnews/article/119/0003016675?sid=102
2025-10-26 14:48:00+09:00,"경남도, 연간 투자 유치 10조 원 시대 개막 눈앞에","['증설', '시설 투자', '투자 협약', '투자 유치']",https://n.news.naver.com/mnews/article/088/0000977329?sid=102,,"경남도, 연간 투자 유치 10조 원 시대 개막 눈앞에","경상남도(도지사 박완수)가 연간 투자유치 10조 원 시대를 눈앞에 두고 있다. 오는 10월 28일 서울 웨스틴조선호텔에서 '2025 경상남도 투자유치 설명회'를 개최하며, 민선 8",,,"8조 3,806억 원",경남,https://n.news.naver.com/mnews/article/088/0000977329?sid=102
2025-10-26 14:13:00+09:00,"원주시 민선8기 들어 총 8,600억원 규모 투자 유치","['투자 협약', '투자 유치']",https://n.news.naver.com/mnews/article/087/0001150374?sid=102,원주시는 지난 24일 시청,"원주시 민선8기 들어 총 8,600억원 규모 투자 유치","전문 인력 양성·정주여건 개선 등 건의 봇물 【원주】원주시는 지난 24일 시청에서 ‘투자유치 기업 간담회’를 개최했다. 이번 간담회는 민선8기 투자기업들의 현장 의견을 청취하고, ",,,"8,600",,https://n.news.naver.com/mnews/article/087/0001150374?sid=102
